fasta_descriptor
sp|Cont_P00722|BGAL_ECOLI
sp|Cont_P09870|CLOS_HATHI
sp|Cont_P30879|PEPC_PIG
sp|Cont_P0C1U8|SSPA_STAAU
sp|Cont_Q2FZL2|SSPA_STAA8
sp|Cont_P00698|LYSC_CHICK
sp|Cont_Q7M135|LYSC_LYSEN
sp|Cont_P13717|NUCA_SERMA
sp|Cont_P00791|PEPA_PIG
sp|Cont_Q10735|PEPB_PIG
sp|Cont_P81054|PLMP_GRIFR
sp|Cont_P15636|API_ACHLY
sp|Cont_Q9U6Y5|GFPL1_ZOASP
sp|Cont_P42212|GFP_AEQVI
sp|Cont_A1A580|KR231_HUMAN
sp|Cont_A6NCN2|KR87P_HUMAN
sp|Cont_A8MTY7|KRA97_HUMAN
sp|Cont_A8MUX0|KR161_HUMAN
sp|Cont_A8MVA2|KRA96_HUMAN
sp|Cont_A8MX34|KR291_HUMAN
sp|Cont_A8MXZ3|KRA91_HUMAN
sp|Cont_O43790|KRT86_HUMAN
sp|Cont_O75690|KRA58_HUMAN
sp|Cont_O76009|KT33A_HUMAN
sp|Cont_O76011|KRT34_HUMAN
sp|Cont_O76013|KRT36_HUMAN
sp|Cont_O76014|KRT37_HUMAN
sp|Cont_O76015|KRT38_HUMAN
sp|Cont_O95678|K2C75_HUMAN
sp|Cont_P02533|K1C14_HUMAN
sp|Cont_P02538|K2C6A_HUMAN
sp|Cont_P04259|K2C6B_HUMAN
sp|Cont_P04264|K2C1_HUMAN
sp|Cont_P05783|K1C18_HUMAN
sp|Cont_P05787|K2C8_HUMAN
sp|Cont_P08727|K1C19_HUMAN
sp|Cont_P08729|K2C7_HUMAN
sp|Cont_P08779|K1C16_HUMAN
sp|Cont_P0C5Y4|KRA14_HUMAN
sp|Cont_P0C7H8|KRA23_HUMAN
sp|Cont_P12035|K2C3_HUMAN
sp|Cont_P13645|K1C10_HUMAN
sp|Cont_P13646|K1C13_HUMAN
sp|Cont_P13647|K2C5_HUMAN
sp|Cont_P19012|K1C15_HUMAN
sp|Cont_P19013|K2C4_HUMAN
sp|Cont_P20930|FILA_HUMAN
sp|Cont_P26371|KRA59_HUMAN
sp|Cont_P35527|K1C9_HUMAN
sp|Cont_P35900|K1C20_HUMAN
sp|Cont_P35908|K22E_HUMAN
sp|Cont_P48668|K2C6C_HUMAN
sp|Cont_P59990|KR121_HUMAN
sp|Cont_P59991|KR122_HUMAN
sp|Cont_P60014|KR10A_HUMAN
sp|Cont_P60328|KR123_HUMAN
sp|Cont_P60329|KR124_HUMAN
sp|Cont_P60331|KR101_HUMAN
sp|Cont_P60368|KR102_HUMAN
sp|Cont_P60369|KR103_HUMAN
sp|Cont_P60370|KR105_HUMAN
sp|Cont_P60371|KR106_HUMAN
sp|Cont_P60372|KR104_HUMAN
sp|Cont_P60409|KR107_HUMAN
sp|Cont_P60410|KR108_HUMAN
sp|Cont_P60411|KR109_HUMAN
sp|Cont_P60412|KR10B_HUMAN
sp|Cont_P60413|KR10C_HUMAN
sp|Cont_P78385|KRT83_HUMAN
sp|Cont_P78386|KRT85_HUMAN
sp|Cont_Q01546|K22O_HUMAN
sp|Cont_Q04695|K1C17_HUMAN
sp|Cont_Q07627|KRA11_HUMAN
sp|Cont_Q14525|KT33B_HUMAN
sp|Cont_Q14532|K1H2_HUMAN
sp|Cont_Q14533|KRT81_HUMAN
sp|Cont_Q14CN4|K2C72_HUMAN
